time,btcdom_open,btcdom_high,btcdom_low,btcdom_close,btcdom_volume
2025-09-30 11:00:00,4035.5,4051.3,4031.0,4035.1,230.067
2025-09-30 15:00:00,4035.3,4096.6,4035.1,4079.0,437.797
2025-09-30 19:00:00,4079.1,4100.5,4072.5,4073.5,279.126
2025-09-30 23:00:00,4073.7,4089.9,4056.2,4073.8,268.903
2025-10-01 03:00:00,4073.6,4105.0,4064.2,4104.1,242.499
2025-10-01 07:00:00,4104.7,4107.4,4081.3,4084.3,183.461
2025-10-01 11:00:00,4085.0,4092.6,4005.9,4032.0,1081.525
2025-10-01 15:00:00,4032.0,4041.9,4019.2,4034.7,349.886
2025-10-01 19:00:00,4035.0,4054.1,4021.9,4025.1,193.126
2025-10-01 23:00:00,4024.9,4062.0,4021.3,4050.4,237.498
2025-10-02 03:00:00,4050.4,4062.7,4006.0,4025.0,387.382
2025-10-02 07:00:00,4024.8,4033.3,3991.2,4019.9,276.091
2025-10-02 11:00:00,4019.2,4020.1,4003.1,4016.3,276.618
2025-10-02 15:00:00,4015.9,4051.3,3994.6,4020.8,702.348
2025-10-02 19:00:00,4021.1,4022.9,3960.0,3979.7,1078.223
2025-10-02 23:00:00,3979.2,3988.0,3967.5,3971.6,211.777
2025-10-03 03:00:00,3972.0,3988.7,3934.6,3961.1,530.361
2025-10-03 07:00:00,3961.0,3991.3,3948.7,3977.2,262.304
2025-10-03 11:00:00,3976.7,3986.9,3930.6,3980.3,289.315
2025-10-03 15:00:00,3980.1,3998.9,3964.3,3971.9,251.746
2025-10-03 19:00:00,3972.3,4035.5,3971.0,4003.5,991.524
2025-10-03 23:00:00,4002.9,4008.3,3978.1,3988.3,149.837
2025-10-04 03:00:00,3988.1,4025.5,3982.3,4023.7,335.984
2025-10-04 07:00:00,4024.1,4033.3,4011.1,4025.2,157.581
2025-10-04 11:00:00,4025.2,4050.9,4025.1,4038.2,314.454
2025-10-04 15:00:00,4038.2,4127.0,4036.0,4072.4,536.401
2025-10-04 19:00:00,4072.1,4079.5,4053.9,4064.0,185.098
2025-10-04 23:00:00,4064.0,4065.8,4051.5,4058.3,84.983
2025-10-05 03:00:00,4058.3,4075.6,4039.5,4057.5,287.024
2025-10-05 07:00:00,4056.7,4069.5,4019.2,4019.2,354.521
2025-10-05 11:00:00,4019.2,4032.1,4006.4,4025.9,379.582
2025-10-05 15:00:00,4026.7,4042.3,4020.9,4030.3,217.125
2025-10-05 19:00:00,4029.8,4077.8,4028.1,4076.9,314.358
2025-10-05 23:00:00,4076.6,4080.5,4055.2,4077.1,162.635
2025-10-06 03:00:00,4077.2,4090.2,4059.7,4060.8,316.36
2025-10-06 07:00:00,4060.8,4071.7,4025.1,4045.9,314.131
2025-10-06 11:00:00,4044.6,4044.6,4021.2,4033.2,179.702
2025-10-06 15:00:00,4032.9,4036.6,3980.5,3989.5,654.325
2025-10-06 19:00:00,3989.5,4005.2,3973.0,3980.0,604.117
2025-10-06 23:00:00,3980.0,4000.9,3973.1,3990.0,342.936
