,Feature,rank
749,close_prev_4,1852.5
750,close_prev_40,1852.5
751,close_prev_44,1852.5
752,close_prev_172,1852.5
753,close_prev_168,1852.5
754,close_prev_48,1852.5
755,close_prev_164,1852.5
756,close_prev_176,1852.5
757,close_prev_156,1852.5
758,open_prev_44,1852.5
759,close_prev_56,1852.5
760,low_prev_112,1852.5
761,high_prev_156,1852.5
762,high_prev_16,1852.5
763,high_prev_164,1852.5
764,high_prev_168,1852.5
765,high_prev_172,1852.5
766,high_prev_176,1852.5
767,high_prev_152,1852.5
768,high_prev_184,1852.5
769,low_prev_116,1852.5
770,high_prev_192,1852.5
771,high_prev_20,1852.5
772,high_prev_24,1852.5
773,high_prev_28,1852.5
774,high_prev_32,1852.5
775,high_prev_36,1852.5
776,high_prev_188,1852.5
777,low_prev_104,1852.5
778,low_prev_100,1852.5
779,high_prev_148,1852.5
780,open_prev_152,1852.5
781,open_prev_148,1852.5
782,open_prev_144,1852.5
783,open_prev_140,1852.5
784,open_prev_132,1852.5
